timestamp,cycle_time,throughput,robot_distance,idle_time,reward,status
1776107539.8791482,0.39,0,1.833,0.0,N/A,Assembly
1776107539.8841755,0.4,0,1.834,0.0,N/A,Assembly
1776107539.88926,0.4,0,1.836,0.0,N/A,Assembly
1776107539.8945067,0.41,0,1.837,0.0,N/A,Assembly
1776107539.8995624,0.41,0,1.839,0.0,N/A,Assembly
1776107539.9042263,0.42,0,1.84,0.0,N/A,Assembly
1776107539.9093332,0.42,0,1.841,0.0,N/A,Assembly
1776107539.9144282,0.43,0,1.843,0.0,N/A,Assembly
1776107539.919499,0.43,0,1.844,0.0,N/A,Assembly
1776107539.9246435,0.44,0,1.845,0.0,N/A,Assembly
1776107539.9299808,0.44,0,1.846,0.0,N/A,Assembly
1776107539.9356887,0.45,0,1.847,0.0,N/A,Assembly
1776107539.9402575,0.45,0,1.848,0.0,N/A,Assembly
1776107539.9453213,0.46,0,1.849,0.0,N/A,Assembly
1776107539.9503725,0.46,0,1.85,0.0,N/A,Assembly
1776107539.9554036,0.47,0,1.851,0.0,N/A,Assembly
1776107539.9604475,0.47,0,1.852,0.0,N/A,Assembly
1776107539.9654825,0.48,0,1.853,0.0,N/A,Assembly
1776107539.970505,0.48,0,1.854,0.0,N/A,Assembly
1776107539.9756231,0.49,0,1.855,0.0,N/A,Assembly
1776107539.981192,0.49,0,1.855,0.0,N/A,Assembly
1776107539.9862528,0.5,0,1.856,0.0,N/A,Assembly
1776107539.9912837,0.5,0,1.857,0.0,N/A,Assembly
1776107539.996094,0.51,0,1.858,0.0,N/A,Assembly
1776107540.001133,0.51,0,1.859,0.0,N/A,Assembly
1776107540.006113,0.52,0,1.86,0.0,N/A,Assembly
1776107540.01083,0.52,0,1.86,0.0,N/A,Assembly
1776107540.0158854,0.53,0,1.861,0.0,N/A,Assembly
1776107540.020896,0.53,0,1.862,0.0,N/A,Assembly
1776107540.0259728,0.54,0,1.863,0.0,N/A,Assembly
1776107540.0315018,0.54,0,1.863,0.0,N/A,Assembly
1776107540.036601,0.55,0,1.864,0.0,N/A,Assembly
1776107540.0416386,0.55,0,1.865,0.0,N/A,Assembly
1776107540.0464334,0.56,0,1.866,0.0,N/A,Assembly
1776107540.0514903,0.56,0,1.866,0.0,N/A,Assembly
1776107540.056544,0.57,0,1.867,0.0,N/A,Assembly
1776107540.0617619,0.57,0,1.868,0.0,N/A,Assembly
1776107540.0668042,0.58,0,1.869,0.0,N/A,Assembly
1776107540.0718527,0.58,0,1.869,0.0,N/A,Assembly
1776107540.0769477,0.59,0,1.87,0.0,N/A,Assembly
1776107540.0819821,0.59,0,1.871,0.0,N/A,Assembly
1776107540.0870066,0.6,0,1.872,0.0,N/A,Assembly
1776107540.0915394,0.6,0,1.872,0.0,N/A,Assembly
1776107540.0962572,0.61,0,1.873,0.0,N/A,Assembly
1776107540.1012912,0.61,0,1.874,0.0,N/A,Assembly
1776107540.106331,0.62,0,1.875,0.0,N/A,Assembly
1776107540.111472,0.62,0,1.875,0.0,N/A,Assembly
1776107540.116534,0.63,0,1.876,0.0,N/A,Assembly
1776107540.1216125,0.63,0,1.877,0.0,N/A,Assembly
1776107540.1266406,0.64,0,1.878,0.0,N/A,Assembly
1776107540.131673,0.64,0,1.878,0.0,N/A,Assembly
1776107540.1367283,0.65,0,1.879,0.0,N/A,Assembly
1776107540.1418946,0.65,0,1.88,0.0,N/A,Assembly
1776107540.1469674,0.66,0,1.881,0.0,N/A,Assembly
1776107540.1519966,0.66,0,1.881,0.0,N/A,Assembly
1776107540.1570902,0.67,0,1.882,0.0,N/A,Assembly
1776107540.1622782,0.67,0,1.883,0.0,N/A,Assembly
1776107540.1673884,0.68,0,1.884,0.0,N/A,Assembly
1776107540.1725838,0.68,0,1.884,0.0,N/A,Assembly
1776107540.177611,0.69,0,1.885,0.0,N/A,Assembly
1776107540.182809,0.69,0,1.886,0.0,N/A,Assembly
1776107540.1878593,0.7,0,1.886,0.0,N/A,Assembly
1776107540.192982,0.7,0,1.887,0.0,N/A,Assembly
1776107540.198111,0.71,0,1.888,0.0,N/A,Assembly
1776107540.203135,0.71,0,1.889,0.0,N/A,Assembly
1776107540.2083216,0.72,0,1.889,0.0,N/A,Assembly
1776107540.21337,0.72,0,1.89,0.0,N/A,Assembly
1776107540.2183776,0.73,0,1.891,0.0,N/A,Assembly
1776107540.2232969,0.73,0,1.892,0.0,N/A,Assembly
1776107540.2283251,0.74,0,1.892,0.0,N/A,Assembly
1776107540.2330127,0.74,0,1.893,0.0,N/A,Assembly
1776107540.2380416,0.75,0,1.894,0.0,N/A,Assembly
1776107540.2433393,0.75,0,1.895,0.0,N/A,Assembly
1776107540.2483385,0.76,0,1.895,0.0,N/A,Assembly
1776107540.2532723,0.76,0,1.896,0.0,N/A,Assembly
1776107540.2583437,0.77,0,1.897,0.0,N/A,Assembly
1776107540.2634363,0.77,0,1.898,0.0,N/A,Assembly
1776107540.2684486,0.78,0,1.898,0.0,N/A,Assembly
1776107540.2734668,0.78,0,1.899,0.0,N/A,Assembly
1776107540.2785158,0.79,0,1.9,0.0,N/A,Assembly
1776107540.2831993,0.79,0,1.9,0.0,N/A,Assembly
1776107540.2882795,0.8,0,1.901,0.0,N/A,Assembly
1776107540.293322,0.8,0,1.902,0.0,N/A,Assembly
1776107540.2983696,0.81,0,1.903,0.0,N/A,Assembly
1776107540.303151,0.81,0,1.903,0.0,N/A,Assembly
1776107540.3081884,0.82,0,1.904,0.0,N/A,Assembly
1776107540.3134258,0.82,0,1.905,0.0,N/A,Assembly
1776107540.3184643,0.83,0,1.906,0.0,N/A,Assembly
1776107540.3235862,0.83,0,1.906,0.0,N/A,Assembly
1776107540.328543,0.84,0,1.907,0.0,N/A,Assembly
