step,x,y,target_dist,reward,timestamp
0,2.0,2.0,7.96801299429843,-7.96801299429843,1774774013.0826523
1,2.377327852518656,2.3542237912536628,7.522624841154982,-7.522624841154982,1774774013.0826962
2,2.693618996572286,2.667814224239416,7.017766660533487,-7.017766660533487,1774774013.0827277
3,3.0515454198852856,3.0238723719907425,6.530372119782519,-6.530372119782519,1774774013.0827556
4,3.4345475680901307,3.330695542717193,6.530372119782519,-6.530372119782519,1774774013.0827856
5,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0828147
6,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0828433
7,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0828707
8,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0829031
9,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0829308
10,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0829575
11,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0829852
12,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0830123
13,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0830388
14,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0830653
15,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0830913
16,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0831172
17,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0831435
18,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0831692
19,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0831954
20,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.083222
21,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0832953
22,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0833244
23,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0833516
24,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.083378
25,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.083405
26,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0834324
27,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0834634
28,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0835025
29,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0835304
30,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0835574
31,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0835836
32,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0836132
33,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0836399
34,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0836658
35,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0836918
36,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0837176
37,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0837433
38,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.083769
39,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0837948
40,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.083821
41,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0838478
42,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0838737
43,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0838997
44,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0839255
45,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.083951
46,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.083977
47,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0840065
48,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0840325
49,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0840583
50,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0840843
51,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0841103
52,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084139
53,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084166
54,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084192
55,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0842178
56,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084244
57,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084271
58,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084297
59,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0843225
60,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0843487
61,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0843747
62,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084401
63,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084427
64,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0844529
65,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084479
66,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0845132
67,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0845432
68,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084569
69,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.084595
70,3.4345475680901307,3.3306955427171925,6.530372119782519,-6.530372119782519,1774774013.0846207
