timestamp,workpiece_x,status,cycle_time
1774795029.760113,-2.104,Assembly,0.52
1774795029.7645226,-2.102,Assembly,0.52
1774795029.7689476,-2.1,Assembly,0.53
1774795029.7732635,-2.098,Assembly,0.53
1774795029.7775996,-2.096,Assembly,0.54
1774795029.781943,-2.094,Assembly,0.54
1774795029.7862709,-2.092,Assembly,0.55
1774795029.7906466,-2.09,Assembly,0.55
1774795029.794975,-2.088,Assembly,0.56
1774795029.7992775,-2.086,Assembly,0.56
1774795029.803618,-2.084,Assembly,0.56
1774795029.807952,-2.082,Assembly,0.57
1774795029.8122778,-2.08,Assembly,0.57
1774795029.8166265,-2.078,Assembly,0.58
1774795029.8209715,-2.076,Assembly,0.58
1774795029.8253305,-2.074,Assembly,0.59
1774795029.8296938,-2.072,Assembly,0.59
1774795029.8340046,-2.07,Assembly,0.59
1774795029.8383331,-2.068,Assembly,0.6
1774795029.8426487,-2.066,Assembly,0.6
1774795029.8469696,-2.064,Assembly,0.61
1774795029.8512878,-2.062,Assembly,0.61
1774795029.8556304,-2.06,Assembly,0.62
1774795029.8599994,-2.058,Assembly,0.62
1774795029.864365,-2.056,Assembly,0.62
1774795029.8686988,-2.054,Assembly,0.63
1774795029.8730197,-2.052,Assembly,0.63
1774795029.877322,-2.05,Assembly,0.64
1774795029.8816726,-2.048,Assembly,0.64
1774795029.8860571,-2.046,Assembly,0.65
1774795029.8903832,-2.044,Assembly,0.65
1774795029.8947363,-2.042,Assembly,0.65
1774795029.8990786,-2.04,Assembly,0.66
1774795029.9033926,-2.038,Assembly,0.66
1774795029.9077086,-2.036,Assembly,0.67
1774795029.9120324,-2.034,Assembly,0.67
1774795029.9163673,-2.032,Assembly,0.68
1774795029.920699,-2.03,Assembly,0.68
1774795029.9250336,-2.028,Assembly,0.69
1774795029.9293592,-2.026,Assembly,0.69
1774795029.9337618,-2.024,Assembly,0.69
1774795029.9381278,-2.022,Assembly,0.7
1774795029.9424503,-2.02,Assembly,0.7
1774795029.946785,-2.018,Assembly,0.71
1774795029.9511433,-2.016,Assembly,0.71
1774795029.955459,-2.014,Assembly,0.72
1774795029.9598048,-2.012,Assembly,0.72
